camera,psnr,ssim,lpips
0,13.807391166687012,0.5262827277183533,0.5027497410774231
1,13.614358901977539,0.470768541097641,0.5615063309669495
2,13.392553329467773,0.3307778835296631,0.6578296422958374
3,13.631752014160156,0.4309505820274353,0.5974043011665344
4,13.653861045837402,0.423420786857605,0.6176002025604248
5,13.382101058959961,0.3881976902484894,0.6378995180130005
6,13.279852867126465,0.3753906190395355,0.6537275910377502
7,13.330601692199707,0.3616214096546173,0.6500799059867859
8,12.880524635314941,0.3396303951740265,0.6610108017921448
9,13.064062118530273,0.3306267261505127,0.6597506999969482
10,13.377771377563477,0.40628373622894287,0.6190175414085388
11,13.97160530090332,0.32566413283348083,0.6381353735923767
12,14.120640754699707,0.388506144285202,0.6558341979980469
13,14.645233154296875,0.3260844051837921,0.6310678720474243
14,14.176082611083984,0.32901516556739807,0.635338306427002
15,14.416685104370117,0.3371495008468628,0.6328486204147339
16,13.95437240600586,0.34511643648147583,0.6461619734764099
17,13.87771987915039,0.32832086086273193,0.6577910780906677
18,14.484845161437988,0.36971983313560486,0.6494803428649902
19,14.764678955078125,0.3808985650539398,0.6454817652702332
20,14.559918403625488,0.32260626554489136,0.6600672006607056
21,14.81089973449707,0.34744992852211,0.6584694385528564
22,13.961291313171387,0.3140690326690674,0.6694612503051758
23,14.115011215209961,0.31350719928741455,0.662584125995636
24,13.772564888000488,0.30006644129753113,0.6760678291320801
25,13.986618041992188,0.3022465109825134,0.6747359037399292
26,13.558202743530273,0.32153475284576416,0.6672779321670532
27,13.395286560058594,0.3188190758228302,0.6803073883056641
28,13.800592422485352,0.3149571716785431,0.6776086091995239
29,14.223108291625977,0.3257468044757843,0.6863409280776978
30,13.859977722167969,0.3548815846443176,0.6769582033157349
31,14.197644233703613,0.33947768807411194,0.6788785457611084
32,14.663684844970703,0.3438599109649658,0.677128791809082
33,15.147958755493164,0.3411300480365753,0.6797209978103638
34,14.556136131286621,0.36021745204925537,0.672153115272522
35,14.64789867401123,0.37456417083740234,0.6745591163635254
36,14.205123901367188,0.42987602949142456,0.6765895485877991
37,14.67414665222168,0.39727339148521423,0.6681935787200928
38,14.37309741973877,0.4625341594219208,0.6193616986274719
39,14.548337936401367,0.4895092844963074,0.5809463262557983
40,14.705401420593262,0.5265030264854431,0.5284013748168945
41,15.363701820373535,0.5387147665023804,0.5285611748695374
42,15.87743854522705,0.5316111445426941,0.5283794403076172
43,15.82337474822998,0.5196900963783264,0.5492150783538818
44,15.255950927734375,0.47908520698547363,0.5737876296043396
45,15.38021183013916,0.4413890540599823,0.5879713296890259
46,15.81628704071045,0.4362667500972748,0.6214312314987183
47,16.005102157592773,0.38652303814888,0.6406237483024597
48,16.416357040405273,0.5084154605865479,0.6432220339775085
49,16.096553802490234,0.4432271122932434,0.657889187335968
50,15.825424194335938,0.33273300528526306,0.6585990190505981
51,15.687768936157227,0.34066587686538696,0.6573349237442017
52,15.152946472167969,0.2849459648132324,0.6760861873626709
53,15.245355606079102,0.28904110193252563,0.6718153953552246
54,14.65527629852295,0.2805785536766052,0.680275559425354
55,14.470224380493164,0.26742061972618103,0.6874712109565735
56,15.644323348999023,0.28392595052719116,0.669458270072937
57,14.64155387878418,0.2663857340812683,0.6852012872695923
58,14.365442276000977,0.27975642681121826,0.6843874454498291
59,15.066457748413086,0.30607303977012634,0.6761888861656189
60,15.190996170043945,0.31928378343582153,0.674319863319397
61,15.246826171875,0.3622290790081024,0.6551974415779114
62,14.672477722167969,0.3547207713127136,0.6659521460533142
63,15.186320304870605,0.3629419505596161,0.6695929765701294
64,15.140583038330078,0.37952736020088196,0.6554489135742188
65,15.313560485839844,0.36882638931274414,0.6550157070159912
66,15.21366024017334,0.47234079241752625,0.639224112033844
67,14.803672790527344,0.41949427127838135,0.6337465047836304
68,14.913090705871582,0.40557992458343506,0.6381179094314575
69,14.685935974121094,0.4082588255405426,0.6311837434768677
70,14.806194305419922,0.4280153810977936,0.6261588335037231
71,14.311467170715332,0.49750569462776184,0.6159425973892212
72,14.570940971374512,0.3239946961402893,0.635211706161499
73,14.65649127960205,0.4459702968597412,0.6289800405502319
74,14.87164306640625,0.4700532555580139,0.6026475429534912
75,14.982864379882812,0.498470276594162,0.5867077112197876
76,15.103187561035156,0.5350475907325745,0.5474903583526611
77,15.23543930053711,0.5248475074768066,0.5544279217720032
78,15.440073013305664,0.5367650389671326,0.5435413718223572
79,15.13614559173584,0.5234891772270203,0.5681055188179016
80,14.983997344970703,0.5348268747329712,0.575513482093811
81,15.346240043640137,0.5008487105369568,0.5829740166664124
82,15.551279067993164,0.4650491774082184,0.6135483384132385
83,15.500574111938477,0.4206060469150543,0.6270166635513306
84,15.426918029785156,0.36730509996414185,0.6665999293327332
85,15.065650939941406,0.34502437710762024,0.6799377202987671
86,14.716434478759766,0.394967645406723,0.6668233871459961
87,14.362594604492188,0.35440289974212646,0.6572011709213257
88,15.002318382263184,0.4039539694786072,0.6545518636703491
89,15.578132629394531,0.39775246381759644,0.6263461112976074
90,14.882671356201172,0.34434786438941956,0.6515482664108276
91,16.265817642211914,0.364278644323349,0.6453986763954163
92,14.620245933532715,0.3284895420074463,0.6636456847190857
93,14.41846752166748,0.3403990864753723,0.6530472636222839
94,15.135852813720703,0.36822086572647095,0.6602320671081543
95,14.41349983215332,0.3101423382759094,0.6820480823516846
96,14.102474212646484,0.31221023201942444,0.68096524477005
97,13.997419357299805,0.3532865047454834,0.6826835870742798
98,14.944517135620117,0.41294071078300476,0.666191816329956
99,15.165328979492188,0.48721668124198914,0.6587228178977966
100,15.108189582824707,0.49420174956321716,0.6016318202018738
