camera,psnr,ssim,lpips
0,22.161333084106445,0.5360949635505676,0.4643467366695404
1,21.58080291748047,0.5332183837890625,0.4619992971420288
2,20.887836456298828,0.5251708030700684,0.4676615595817566
3,21.158607482910156,0.5323807001113892,0.46387046575546265
4,20.306995391845703,0.5093526840209961,0.4751339256763458
5,19.933774948120117,0.49351075291633606,0.484109103679657
6,20.214078903198242,0.48564714193344116,0.4936072826385498
7,19.686967849731445,0.47993287444114685,0.49696752429008484
8,20.052085876464844,0.4959668815135956,0.49379658699035645
9,19.999177932739258,0.5191521644592285,0.4858069121837616
10,19.842937469482422,0.5229344964027405,0.4823528826236725
11,21.082073211669922,0.5417062044143677,0.465883731842041
12,21.569992065429688,0.5405480265617371,0.4755714535713196
13,22.606769561767578,0.5640402436256409,0.4604892432689667
14,23.39879608154297,0.5697538256645203,0.45611611008644104
15,23.303508758544922,0.5599963068962097,0.46172836422920227
16,23.60821533203125,0.5673816800117493,0.4551435708999634
17,23.028030395507812,0.5494410991668701,0.45885923504829407
18,23.088998794555664,0.5574893355369568,0.4551403224468231
19,22.365198135375977,0.5370375514030457,0.4655742049217224
20,22.835742950439453,0.5627173781394958,0.44479721784591675
21,22.82152557373047,0.5599079728126526,0.44841787219047546
22,22.451480865478516,0.5558268427848816,0.4459161162376404
23,21.754301071166992,0.5397762060165405,0.4500371217727661
24,22.55293083190918,0.5509297847747803,0.43720385432243347
25,22.29427719116211,0.5632364153862,0.43723979592323303
26,22.320632934570312,0.5642633438110352,0.44312146306037903
27,20.92914581298828,0.5349825024604797,0.4491238594055176
28,20.830947875976562,0.5446581840515137,0.4461108446121216
29,20.588268280029297,0.5371735095977783,0.45102012157440186
30,20.60308074951172,0.5279974341392517,0.4563881456851959
31,18.11313247680664,0.5144519209861755,0.4714689552783966
32,19.420316696166992,0.5127410888671875,0.4727575182914734
33,23.97467803955078,0.584821879863739,0.43525707721710205
34,23.972698211669922,0.591269850730896,0.4316381812095642
35,23.176345825195312,0.5810881853103638,0.4398896098136902
36,22.57842254638672,0.5662452578544617,0.4457184374332428
37,22.78925323486328,0.5748163461685181,0.43959343433380127
38,22.218477249145508,0.5448797345161438,0.4584188461303711
39,22.05573272705078,0.5530247092247009,0.45660197734832764
40,22.467185974121094,0.5463722944259644,0.46305161714553833
41,21.816326141357422,0.5490365028381348,0.4647373855113983
42,22.87051773071289,0.5833105444908142,0.44013628363609314
43,22.326419830322266,0.566187858581543,0.4492175281047821
44,23.008623123168945,0.591350793838501,0.4308420419692993
45,22.8841552734375,0.5874601602554321,0.4290470480918884
46,23.309947967529297,0.5894748568534851,0.43713903427124023
47,23.50774574279785,0.5814324617385864,0.44021543860435486
48,23.763965606689453,0.6064562797546387,0.4275045096874237
49,23.94693374633789,0.5859562158584595,0.4426289200782776
50,24.673648834228516,0.6114997267723083,0.42611759901046753
51,25.132225036621094,0.6330612897872925,0.4121011793613434
52,24.684288024902344,0.608249843120575,0.424471914768219
53,24.275558471679688,0.6006455421447754,0.4240899085998535
54,24.297027587890625,0.5986438393592834,0.421877384185791
55,24.162424087524414,0.6115258932113647,0.4116743206977844
56,24.47966766357422,0.6354559659957886,0.400311678647995
57,24.12521743774414,0.6073113083839417,0.4172498881816864
58,24.044254302978516,0.6021517515182495,0.4159602224826813
59,23.899593353271484,0.5980838537216187,0.41288992762565613
60,24.146240234375,0.6149351000785828,0.41139593720436096
61,23.60651397705078,0.6107833981513977,0.4197353422641754
62,23.69751739501953,0.5986161828041077,0.4192964434623718
63,23.905717849731445,0.5989001393318176,0.41969144344329834
64,23.794822692871094,0.6098302602767944,0.41357213258743286
65,24.191890716552734,0.614922285079956,0.4168442487716675
66,24.678821563720703,0.622373640537262,0.41705211997032166
67,24.11638069152832,0.5924625396728516,0.4296940267086029
68,24.07305908203125,0.5869789123535156,0.43414461612701416
69,22.921226501464844,0.5726865530014038,0.4361193776130676
70,22.7297420501709,0.562099814414978,0.4447757601737976
71,22.839405059814453,0.5619891881942749,0.4454367160797119
72,23.532817840576172,0.575079083442688,0.4363079071044922
73,23.76662254333496,0.5688148736953735,0.4388978183269501
74,24.33324432373047,0.56208336353302,0.44648006558418274
75,24.600114822387695,0.5698185563087463,0.4445287883281708
76,24.531200408935547,0.571083664894104,0.44176626205444336
77,24.161773681640625,0.579289436340332,0.43602675199508667
78,23.822248458862305,0.5785653591156006,0.4315248429775238
79,23.799570083618164,0.5924603939056396,0.4261203408241272
80,23.51230239868164,0.5893920063972473,0.4343737065792084
81,23.979724884033203,0.6033886671066284,0.4287925064563751
82,24.13644027709961,0.5921828150749207,0.4370575547218323
83,24.303876876831055,0.5886847376823425,0.43611574172973633
84,24.17322540283203,0.5775808095932007,0.4403512477874756
85,23.993778228759766,0.5826162099838257,0.43441489338874817
86,24.064659118652344,0.5921165347099304,0.42354172468185425
87,24.188098907470703,0.5985107421875,0.4233703315258026
88,24.390426635742188,0.6065353751182556,0.4206588864326477
89,23.86298370361328,0.5857214331626892,0.4252415597438812
90,23.954517364501953,0.5905936360359192,0.42520254850387573
91,22.590158462524414,0.5791371464729309,0.4274316728115082
92,23.494525909423828,0.6066094040870667,0.4208078980445862
93,23.815982818603516,0.5889736413955688,0.4245692491531372
94,23.765012741088867,0.5855322480201721,0.42449524998664856
95,23.909046173095703,0.5999974012374878,0.41758590936660767
96,24.163694381713867,0.5926830172538757,0.4315316081047058
97,24.536762237548828,0.5990369319915771,0.431893527507782
98,24.724868774414062,0.5985888242721558,0.43247103691101074
99,24.710119247436523,0.593945324420929,0.43144121766090393
100,24.245288848876953,0.5815965533256531,0.43743863701820374
101,24.446165084838867,0.5793018937110901,0.43893134593963623
102,24.346799850463867,0.5705083608627319,0.4374566376209259
103,24.343259811401367,0.5827591419219971,0.4289969503879547
104,24.685861587524414,0.5711796283721924,0.44054195284843445
105,24.684173583984375,0.5650390982627869,0.44352930784225464
106,24.235021591186523,0.5638154149055481,0.44310545921325684
107,24.450082778930664,0.584953784942627,0.43287691473960876
108,23.726003646850586,0.5939838290214539,0.4201897382736206
109,24.138172149658203,0.5907325148582458,0.4209652543067932
110,23.76146125793457,0.5899330973625183,0.43167951703071594
111,24.286462783813477,0.5814634561538696,0.4339500069618225
112,24.97356605529785,0.5975012183189392,0.43288522958755493
113,25.130733489990234,0.5945461392402649,0.433025598526001
114,24.606847763061523,0.5759752988815308,0.4426957070827484
115,24.63264274597168,0.5863791704177856,0.4271276295185089
116,24.412368774414062,0.5819351673126221,0.4280809760093689
117,24.493534088134766,0.596272885799408,0.4263431131839752
118,24.564645767211914,0.60118168592453,0.42035847902297974
119,24.329708099365234,0.5896376371383667,0.425132691860199
120,23.785919189453125,0.5723495483398438,0.43340131640434265
121,23.547895431518555,0.5876489877700806,0.41821467876434326
122,23.30242156982422,0.5764669179916382,0.4387054741382599
123,23.58708381652832,0.5727695822715759,0.4367477595806122
124,24.111473083496094,0.5890317559242249,0.43489593267440796
125,23.57987403869629,0.568595826625824,0.43687868118286133
126,24.456928253173828,0.588028609752655,0.4340106248855591
127,24.857637405395508,0.5925012826919556,0.4347001314163208
128,24.62655258178711,0.5761505365371704,0.442690372467041
129,25.06109619140625,0.5877679586410522,0.4359147846698761
130,24.4685001373291,0.5731717348098755,0.4366564452648163
131,24.77052879333496,0.5730100274085999,0.43666476011276245
132,24.934162139892578,0.5655606389045715,0.4458581209182739
133,25.13291358947754,0.5723708271980286,0.4380228817462921
134,25.400846481323242,0.601350724697113,0.4219380021095276
135,25.039308547973633,0.5923929810523987,0.4247186779975891
