camera,psnr,ssim,lpips
0,22.797677993774414,0.5682658553123474,0.44359859824180603
1,22.442502975463867,0.5594780445098877,0.4425375461578369
2,21.59456443786621,0.5517891645431519,0.44877374172210693
3,21.820356369018555,0.5596811771392822,0.44508323073387146
4,21.148502349853516,0.5340365767478943,0.45439237356185913
5,21.10350799560547,0.5201832056045532,0.46352383494377136
6,21.220993041992188,0.5065402388572693,0.4796416759490967
7,21.002315521240234,0.5098748207092285,0.4750850200653076
8,21.205350875854492,0.523294985294342,0.47071224451065063
9,20.94599723815918,0.5423071384429932,0.4606800675392151
10,21.09423065185547,0.549583375453949,0.45621830224990845
11,22.180633544921875,0.5700117349624634,0.4389796257019043
12,22.60658073425293,0.5663889646530151,0.4514628052711487
13,23.03633689880371,0.5868169069290161,0.43859371542930603
14,24.067914962768555,0.5958595275878906,0.43384331464767456
15,23.92375946044922,0.5874935984611511,0.43964043259620667
16,24.207782745361328,0.5971053838729858,0.43266206979751587
17,23.563247680664062,0.577592134475708,0.4361366927623749
18,23.330717086791992,0.5772740840911865,0.4356662631034851
19,22.848098754882812,0.55914705991745,0.4433837831020355
20,23.214529037475586,0.5847790837287903,0.4264550805091858
21,23.04001235961914,0.5785094499588013,0.4292021691799164
22,22.895910263061523,0.5798860788345337,0.4284597635269165
23,22.244413375854492,0.5625306367874146,0.4348566234111786
24,22.562448501586914,0.5662144422531128,0.4241929054260254
25,22.50518798828125,0.5831350684165955,0.41917306184768677
26,22.7412052154541,0.590690553188324,0.41876137256622314
27,22.092864990234375,0.5690022706985474,0.4237252473831177
28,22.31027603149414,0.5756083130836487,0.42113393545150757
29,22.121458053588867,0.5730988383293152,0.42358678579330444
30,22.23957061767578,0.5658829212188721,0.43039387464523315
31,21.069324493408203,0.5531068444252014,0.4384538531303406
32,21.360652923583984,0.5478619933128357,0.4470904469490051
33,24.309165954589844,0.6116515398025513,0.415317565202713
34,24.441925048828125,0.6143214702606201,0.4116749167442322
35,23.859333038330078,0.6046450734138489,0.41916966438293457
36,22.98572540283203,0.5867701768875122,0.42536604404449463
37,23.11150550842285,0.594639241695404,0.4208694100379944
38,22.65961456298828,0.5665661692619324,0.43956202268600464
39,22.81732177734375,0.5808436870574951,0.437377393245697
40,22.998790740966797,0.5645413994789124,0.4441893398761749
41,22.222490310668945,0.5672270059585571,0.4469766616821289
42,23.714590072631836,0.6034523844718933,0.4243261218070984
43,22.978801727294922,0.5848608613014221,0.43327367305755615
44,23.103734970092773,0.6069498062133789,0.41628706455230713
45,22.858291625976562,0.6043822765350342,0.41397348046302795
46,23.53205680847168,0.6081011891365051,0.42135483026504517
47,24.126544952392578,0.6056409478187561,0.42321112751960754
48,24.668994903564453,0.6310267448425293,0.411502867937088
49,24.417278289794922,0.6078172922134399,0.42306095361709595
50,25.01805305480957,0.6328005790710449,0.4102895259857178
51,25.49675178527832,0.6542890071868896,0.39654847979545593
52,24.906309127807617,0.6261197328567505,0.4109267592430115
53,24.661733627319336,0.6206997632980347,0.4076734781265259
54,24.590919494628906,0.6205182671546936,0.40553683042526245
55,24.372644424438477,0.6332408785820007,0.39562565088272095
56,24.542015075683594,0.6562133431434631,0.3861374855041504
57,24.438735961914062,0.6303775310516357,0.4029719829559326
58,24.27979278564453,0.6258552670478821,0.3982841968536377
59,24.20477867126465,0.6216162443161011,0.39396506547927856
60,24.25246238708496,0.6351527571678162,0.39348912239074707
61,23.99043083190918,0.6313962340354919,0.39921069145202637
62,23.65206527709961,0.6088187098503113,0.4009389281272888
63,24.25760269165039,0.6295138001441956,0.39703187346458435
64,24.067781448364258,0.6292940974235535,0.3941529393196106
65,24.500988006591797,0.6369450688362122,0.39541196823120117
66,25.043441772460938,0.6468178033828735,0.3968343138694763
67,24.383281707763672,0.6169843673706055,0.4109038710594177
68,24.27059555053711,0.6094229221343994,0.4177037179470062
69,23.282716751098633,0.5932900309562683,0.4166485369205475
70,23.361284255981445,0.5823959112167358,0.4253336787223816
71,23.34832191467285,0.5835976004600525,0.4275631308555603
72,23.648784637451172,0.5954766869544983,0.41816508769989014
73,24.08353042602539,0.588455855846405,0.42376014590263367
74,24.60174560546875,0.5781757831573486,0.43174704909324646
75,24.875715255737305,0.587469756603241,0.42734697461128235
76,24.92865562438965,0.5882653594017029,0.4293826222419739
77,24.536130905151367,0.5946151614189148,0.42552444338798523
78,24.14254379272461,0.5962110757827759,0.419196218252182
79,23.74095916748047,0.6066061854362488,0.41462212800979614
80,23.67612648010254,0.6040793061256409,0.42054665088653564
81,24.640216827392578,0.6245001554489136,0.41502445936203003
82,24.72525405883789,0.6108165979385376,0.42237788438796997
83,24.691970825195312,0.6060456037521362,0.4232334494590759
84,24.68185043334961,0.5975282192230225,0.42621394991874695
85,24.645244598388672,0.6034127473831177,0.4201233685016632
86,24.509592056274414,0.6105948090553284,0.4077659845352173
87,24.499237060546875,0.6224135756492615,0.40949442982673645
88,24.521312713623047,0.6232908964157104,0.40543070435523987
89,23.811538696289062,0.6024292707443237,0.41114476323127747
90,24.275917053222656,0.6127508878707886,0.40613916516304016
91,23.071842193603516,0.5989496111869812,0.4122076630592346
92,24.12858772277832,0.628937840461731,0.40026164054870605
93,24.202116012573242,0.6192294955253601,0.40275007486343384
94,23.964481353759766,0.6011595726013184,0.4056427776813507
95,24.32339859008789,0.6214569807052612,0.3983117341995239
