camera,psnr,ssim,lpips
0,23.280458450317383,0.785056471824646,0.23614883422851562
1,24.00859832763672,0.7940570116043091,0.2267192006111145
2,24.316959381103516,0.8341368436813354,0.18742302060127258
3,23.426727294921875,0.7983176112174988,0.21489393711090088
4,20.285232543945312,0.7767288684844971,0.26130396127700806
5,24.206350326538086,0.8239763379096985,0.19589608907699585
6,23.875600814819336,0.8178201913833618,0.20159196853637695
7,23.897781372070312,0.8215494751930237,0.19542859494686127
8,23.67496681213379,0.8185184597969055,0.19909855723381042
9,24.040035247802734,0.8316047787666321,0.18809270858764648
10,21.446245193481445,0.7587388157844543,0.23866140842437744
11,23.938053131103516,0.8391364812850952,0.1835385262966156
12,26.892364501953125,0.831211507320404,0.2297552078962326
13,23.809309005737305,0.8373245596885681,0.18807417154312134
14,24.345401763916016,0.847115695476532,0.18032369017601013
15,24.51042366027832,0.8476979732513428,0.17649155855178833
16,24.423254013061523,0.8603383302688599,0.15954098105430603
17,24.396181106567383,0.8578076958656311,0.16451823711395264
18,25.41097640991211,0.8649357557296753,0.15309110283851624
19,25.795793533325195,0.8698441386222839,0.15651343762874603
20,25.50471305847168,0.866033673286438,0.15221348404884338
21,26.417837142944336,0.8852607607841492,0.14194321632385254
22,26.00426483154297,0.8751835823059082,0.1567794382572174
23,25.713672637939453,0.8696179389953613,0.15642012655735016
24,25.27535629272461,0.8567951321601868,0.1669331192970276
25,24.844758987426758,0.8486928343772888,0.1763354241847992
26,25.086727142333984,0.8539923429489136,0.17348268628120422
27,24.10106658935547,0.8542113900184631,0.17650967836380005
28,26.19546890258789,0.8687519431114197,0.15866850316524506
29,25.739055633544922,0.864043116569519,0.1693359613418579
30,25.636045455932617,0.8589650988578796,0.17810440063476562
31,25.79528045654297,0.8612755537033081,0.1653943657875061
32,25.587886810302734,0.8592791557312012,0.16967877745628357
33,25.866657257080078,0.8545472025871277,0.1672106832265854
34,26.040489196777344,0.8637703061103821,0.16027893126010895
35,25.861522674560547,0.8606183528900146,0.16088944673538208
36,25.561843872070312,0.8526063561439514,0.18600739538669586
37,25.91264533996582,0.844692051410675,0.184294193983078
38,25.956802368164062,0.8585072159767151,0.17781686782836914
39,26.241809844970703,0.8422644734382629,0.19185546040534973
40,25.23819923400879,0.8376260995864868,0.19322744011878967
41,25.398347854614258,0.8407716155052185,0.20015771687030792
42,24.634008407592773,0.848865807056427,0.19037126004695892
43,24.835498809814453,0.8577592372894287,0.18763884902000427
44,24.370328903198242,0.8396769165992737,0.2005445510149002
45,26.10550308227539,0.8537646532058716,0.18837808072566986
46,28.054838180541992,0.8697483539581299,0.18545657396316528
47,27.52033042907715,0.8640344738960266,0.18538793921470642
48,27.02198028564453,0.765383780002594,0.27006199955940247
49,28.403430938720703,0.8235153555870056,0.21673807501792908
50,28.983428955078125,0.8774049878120422,0.15939660370349884
51,28.068946838378906,0.8724728226661682,0.16206079721450806
52,26.716503143310547,0.8645637631416321,0.16013967990875244
53,26.37392807006836,0.8672959804534912,0.16083359718322754
54,26.24974822998047,0.8803883194923401,0.1517758071422577
55,25.450740814208984,0.8701067566871643,0.1569909304380417
56,25.060110092163086,0.8643743991851807,0.16150173544883728
57,25.006851196289062,0.85459303855896,0.16468855738639832
58,24.89072036743164,0.856402575969696,0.16796769201755524
59,25.049457550048828,0.8652495741844177,0.16474314033985138
60,24.852603912353516,0.8553647398948669,0.17189916968345642
61,25.356407165527344,0.869978129863739,0.1618402898311615
62,24.335617065429688,0.8469428420066833,0.17714256048202515
63,23.96279525756836,0.8339656591415405,0.18875166773796082
64,22.890798568725586,0.8060802221298218,0.21312624216079712
65,21.602352142333984,0.7746362686157227,0.23247456550598145
66,19.531051635742188,0.7541235685348511,0.26598992943763733
67,25.76821517944336,0.8080123066902161,0.24869495630264282
68,26.60710334777832,0.8060811161994934,0.2503080368041992
69,26.955333709716797,0.8099752068519592,0.25215405225753784
70,27.48270034790039,0.8366297483444214,0.20981284976005554
71,27.621368408203125,0.8431567549705505,0.215066596865654
72,23.8656063079834,0.8403369188308716,0.18056298792362213
73,27.577760696411133,0.8667833209037781,0.17853616178035736
74,27.036300659179688,0.8483384251594543,0.19774006307125092
75,26.948699951171875,0.8459327816963196,0.215863436460495
76,26.9031925201416,0.8650813698768616,0.18649250268936157
77,27.046300888061523,0.8519492149353027,0.20693835616111755
78,27.093488693237305,0.8601418137550354,0.19203263521194458
79,26.173952102661133,0.8468983769416809,0.21320174634456635
80,26.595409393310547,0.8601574897766113,0.20269018411636353
81,26.4161319732666,0.860647976398468,0.18595369160175323
82,26.651275634765625,0.8594772219657898,0.19937309622764587
83,26.522104263305664,0.8603559732437134,0.18723708391189575
84,26.31049156188965,0.8506895899772644,0.19587528705596924
85,26.546680450439453,0.8409280776977539,0.2127775400876999
86,25.824249267578125,0.8478217124938965,0.22155752778053284
87,24.92302894592285,0.8471807837486267,0.21781806647777557
88,25.38741111755371,0.8436571955680847,0.23565901815891266
89,25.101736068725586,0.8405051827430725,0.19776368141174316
90,25.039325714111328,0.8220553994178772,0.20981676876544952
91,25.832368850708008,0.838772714138031,0.21069882810115814
92,25.78997802734375,0.8233360052108765,0.2008507400751114
93,26.064577102661133,0.8366129398345947,0.20041555166244507
94,27.186880111694336,0.8459572792053223,0.2292880117893219
95,26.385208129882812,0.8164356350898743,0.22658222913742065
96,25.438058853149414,0.8041194677352905,0.24095824360847473
97,25.817699432373047,0.8355252742767334,0.21630358695983887
98,25.71759796142578,0.8381158709526062,0.22677847743034363
99,26.545000076293945,0.8385895490646362,0.2328542172908783
100,27.494953155517578,0.8675335645675659,0.2006239891052246
101,27.48807144165039,0.8736175894737244,0.1862042248249054
102,26.045732498168945,0.790922999382019,0.2825660705566406
103,27.280719757080078,0.8590106964111328,0.22410869598388672
104,26.83155059814453,0.8625950217247009,0.20709529519081116
105,24.818557739257812,0.8271640539169312,0.2501404583454132
106,24.535133361816406,0.7554718852043152,0.2297091782093048
107,25.979595184326172,0.8156032562255859,0.2161710262298584
108,26.50221061706543,0.7961675524711609,0.21219418942928314
109,26.874561309814453,0.8194963335990906,0.21334990859031677
110,26.973384857177734,0.8063814640045166,0.19816428422927856
111,27.15824317932129,0.8184875249862671,0.19734840095043182
112,27.071269989013672,0.846094012260437,0.19052553176879883
113,26.448894500732422,0.8285693526268005,0.2092728614807129
114,25.148889541625977,0.8350405693054199,0.19493067264556885
115,24.147716522216797,0.7600409984588623,0.2745303511619568
116,23.992090225219727,0.7866502404212952,0.2915348410606384
117,25.46112823486328,0.7979417443275452,0.2774748206138611
118,25.785667419433594,0.8167057633399963,0.2572343945503235
119,25.839662551879883,0.8263295292854309,0.2421882450580597
120,25.626754760742188,0.8261171579360962,0.2391694039106369
121,25.88355827331543,0.8275048136711121,0.23700590431690216
122,25.912839889526367,0.8439589738845825,0.21724635362625122
123,25.540252685546875,0.8238217234611511,0.2427392303943634
124,26.119976043701172,0.8506413102149963,0.21903762221336365
125,27.837617874145508,0.8704248666763306,0.1908084750175476
126,27.521303176879883,0.8197146058082581,0.24497483670711517
127,28.097475051879883,0.8482656478881836,0.1985892355442047
128,28.51274299621582,0.8588768839836121,0.19388309121131897
129,28.564037322998047,0.8566339015960693,0.18764552474021912
130,27.722579956054688,0.8344899415969849,0.18634887039661407
131,27.400630950927734,0.8312276601791382,0.1914278268814087
132,27.481616973876953,0.8344520330429077,0.1890561282634735
133,27.685420989990234,0.8408501744270325,0.1873307079076767
134,28.222633361816406,0.8611081838607788,0.20074306428432465
135,28.32731056213379,0.8679854273796082,0.1623343825340271
136,28.452194213867188,0.8663946986198425,0.1951501965522766
137,28.27591896057129,0.8681397438049316,0.16653482615947723
138,27.88611602783203,0.8535440564155579,0.17735666036605835
139,28.657081604003906,0.8677412271499634,0.1913449764251709
140,28.025922775268555,0.8371543288230896,0.20222590863704681
141,29.013917922973633,0.8613132834434509,0.19733543694019318
142,27.894485473632812,0.8287239670753479,0.21396991610527039
143,27.437358856201172,0.8474933505058289,0.2025197148323059
144,26.701549530029297,0.8106219172477722,0.23125001788139343
145,27.882991790771484,0.8319068551063538,0.24370886385440826
146,27.029468536376953,0.8444052338600159,0.2014637142419815
147,26.899005889892578,0.8304265141487122,0.2194490134716034
148,26.428138732910156,0.8286964297294617,0.21419422328472137
149,27.26468276977539,0.825445294380188,0.24235668778419495
150,27.725191116333008,0.8526445031166077,0.1889655441045761
151,27.869281768798828,0.8692290186882019,0.17963819205760956
152,27.30072021484375,0.8576293587684631,0.18424056470394135
153,27.11090850830078,0.8636641502380371,0.17893335223197937
